product_id,brand_name,product_title,price,avg_product_rating,product_tags,product_url
250,Maybelline New York,Maybelline New York Clear Smooth All in One UV+ Lightening Oil Control Two Way Cake SPF 32 PA+++,280,4.1,,https://www.nykaa.com/maybelline-clear-glow-pressed-powder/p/250
479,L'Oreal Paris,L'Oreal Paris Infallible Le Rouge Lipstick,990,4.1,,https://www.nykaa.com/l-oreal-paris-infaillible-le-rouge-lipstick/p/479
981,Lakme,Lakme Kajal - Black,75,4.1,,https://www.nykaa.com/lakme-kajal/p/981
1017,Lakme,Lakme Lip Gloss,200,4.0,,https://www.nykaa.com/lakme-lip-gloss/p/1017
1139,Lakme,Lakme True Wear Nail Color,125,4.1,,https://www.nykaa.com/lakme-true-wear-nail-color/p/1139
1268,Lakme,Lakme Face Sheer Blusher,383,4.1,,https://www.nykaa.com/lakme-face-sheer-blush/p/1268
1290,Lakme,Lakme Absolute White Intense SPF 20 Concealer Stick,560,3.8,,https://www.nykaa.com/lakme-absolute-white-intense-concealer-stick-spf-20/p/1290
5612,L'Oreal Paris,L'Oreal Paris Superliner Black Lacquer,799,4.0,,https://www.nykaa.com/l-oreal-superliner-black-lacquer/p/5612
8078,Nivea,"NIVEA Sun Lotion, SPF 50, with UVA & UVB Protection, Water Resistant Sunscreen",342,4.1,,https://www.nykaa.com/nivea-moisturising-sun-lotion-spf-50/p/8078
9471,Lakme,Lakme Absolute Forever Silk Eyeliner,395,3.4,,https://www.nykaa.com/lakme-absolute-forever-silk-eyeliner/p/9471
14410,Lakme,Lakme Absolute Flutter Secrets Dramatic Eyes Mascara - Night Drama,659,4.0,,https://www.nykaa.com/lakme-absolute-flutter-secrets-dramatic-eyes-mascara/p/14410
18423,Maybelline New York,Maybelline New York The Colossal Liner - Black,247,4.1,,https://www.nykaa.com/maybelline-the-colossal-liner/p/18423
18744,L'Oreal Paris,L'Oreal Paris Age 20+ Skin Perfect Cream UV Filters,115,4.1,,https://www.nykaa.com/l-oreal-paris-age-20-skin-perfect-cream-uv-filters/p/18744
23694,Olay,Olay Total Effects 7 In One Day Cream Normal SPF 15 (Trial Size) 8gm,160,4.1,,https://www.nykaa.com/olay-total-effects-7-in-one-day-cream-normal-spf-15-trial-size/p/23694
24093,Lakme,Lakme Enrich Satin Lipstick,260,4.1,,https://www.nykaa.com/lakme-enrich-satin-lipstick/p/24093
26651,Maybelline New York,Maybelline New York Fashion Brow Duo Shaper,305,4.0,,https://www.nykaa.com/maybelline-fashion-brow-duo-shaper/p/26651
36379,L'Oreal Paris,L'Oreal Paris Infallible Mega Gloss,830,4.1,,https://www.nykaa.com/l-oreal-paris-infallible-mega-gloss/p/36379
41880,NYX Professional Makeup,NYX Professional Makeup Liquid Suede Cream Lipstick,850,4.0,,https://www.nykaa.com/nyx-professional-makeup-liquid-suede-cream-lipstick/p/41880
42085,NYX Professional Makeup,NYX Professional Makeup Pore Filler,1450,4.1,,https://www.nykaa.com/nyx-professional-makeup-pore-filler/p/42085
42114,NYX Professional Makeup,NYX Professional Makeup Wonder Stick,835,3.8,,https://www.nykaa.com/nyx-professional-makeup-wonder-stick/p/42114
42142,NYX Professional Makeup,NYX Professional Makeup Born To Glow Liquid Illuminator,723,4.1,"FEATURED, BESTSELLER",https://www.nykaa.com/nyx-professional-makeup-born-to-glow-liquid-illuminator/p/42142
44879,Lakme,Lakme Enrich Matte Lipstick,320,4.0,,https://www.nykaa.com/lakme-enrich-matte-lipstick/p/44879
48066,Maybelline New York,Maybelline New York The Blushed Nudes Eye Shadow Palette,749,4.1,,https://www.nykaa.com/maybelline-new-york-the-blushed-nudes-palette/p/48066
60541,Olay,Olay Total Effects 7 In One Anti-Ageing Day Cream Normal SPF 15,375,3.9,,https://www.nykaa.com/olay-total-effects-7-in-one-anti-ageing-cream-normal-day-spf-15/p/60541
61305,Olay,Olay White Radiance Day & Night Cream for Brightening and Glow,2378,4.0,,https://www.nykaa.com/olay-white-radiance-day-and-night-brigthening-intensive-regime/p/61305
64110,L'Oreal Paris,L'Oreal Paris Volume Million Lashes Waterproof Mascara,999,4.1,,https://www.nykaa.com/l-oreal-paris-volume-million-lashes-waterproof-mascara/p/64110
68138,Nykaa Cosmetics,Nykaa Dual Tone Nail Enamel Remover,99,3.8,,https://www.nykaa.com/nykaa-dual-tone-nail-enamel-remover/p/68138
68508,Lakme,Lakme Absolute Illuminating Blush Shimmer Brick,616,4.0,,https://www.nykaa.com/lakme-absolute-illuminating-blush-shimmer-brick/p/68508
73008,Maybelline New York,Maybelline New York V-Face Duo Stick,670,3.8,,https://www.nykaa.com/maybelline-new-york-v-face-duo-stick/p/73008
127349,Nykaa Cosmetics,Nykaa Prove Your Point Cosmetic Sharpener! - 6112,149,4.0,,https://www.nykaa.com/nykaa-prove-your-point-cosmetic-sharpener-6112/p/127349
139814,Nykaa Cosmetics,Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact,368,4.1,,https://www.nykaa.com/nykaa-skingenius-skin-perfecting-hydrating-matte-powder-compact/p/139814
139821,Nykaa Cosmetics,Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02,446,4.1,,https://www.nykaa.com/nykaa-skingenius-skin-perfecting-hydrating-matte-powder-compact-rose-beige-02/p/139821
139993,L'Oreal Paris,L'Oreal Paris Infallible Pro-Spray & Set Makeup Extender,999,4.1,,https://www.nykaa.com/l-oreal-paris-infallible-pro-spray-set-makeup-extender/p/139993
160488,L'Oreal Paris,L'Oreal Paris Magic Retouch Instant Root Concealer Spray,299,4.1,BESTSELLER,https://www.nykaa.com/l-oreal-paris-magic-retouch-instant-root-concealer/p/160488
173656,NYX Professional Makeup,NYX Professional Makeup Suede Matte Lip Liner,450,4.0,,https://www.nykaa.com/nyx-professional-makeup-suede-matte-lip-liner/p/173656
176376,Maybelline New York,Maybelline New York Face Studio Master Contour Palette,950,4.1,,https://www.nykaa.com/maybelline-new-york-face-studio-master-contour-palette/p/176376
189912,Lakme,Lakme Absolute Argan Oil Serum Foundation With SPF 45,660,4.1,,https://www.nykaa.com/lakme-absolute-argan-oil-serum-foundation-with-spf-45/p/189912
189962,Maybelline New York,Maybelline New York Facestudio Master Strobing Cream,665,4.1,,https://www.nykaa.com/maybelline-new-york-facestudio-master-strobing-cream/p/189962
190741,NYX Professional Makeup,NYX Professional Makeup Ultimate Multi-Finish Shadow Palette,1725,4.1,,https://www.nykaa.com/nyx-professional-makeup-ultimate-multi-finish-shadow-palette/p/190741
196392,Nykaa Cosmetics,Nykaa Get Winged! Sketch Eyeliner Pen - Black Swan 01,360,3.8,,https://www.nykaa.com/nykaa-get-winged-eyeliner-black-swan-01/p/196392
209281,Nykaa Cosmetics,Nykaa SKINgenius Foundation Stick Conceal Contour & Corrector - Golden Hazelnut 06,394,4.0,,https://www.nykaa.com/nykaa-skingenius-foundation-stick-golden-hazelnut-06/p/209281
209282,Nykaa Cosmetics,Nykaa SKINgenius Foundation Stick Conceal Contour & Corrector - Toffee Chisel 07,446,4.0,,https://www.nykaa.com/nykaa-skingenius-foundation-stick-toffee-chisel-07/p/209282
220091,Nykaa Cosmetics,Nykaa GLAMOReyes Coloured Liquid Eyeliner - 05 Dragon's Heart,239,3.9,,https://www.nykaa.com/nykaa-glamoreyes-liquid-eyeliner-05-dragon-s-heart/p/220091
222623,Nykaa Cosmetics,Nykaa Bling It On Pouch,225,4.0,,https://www.nykaa.com/nykaa-bling-it-on-pouch/p/222623
248367,Nykaa Cosmetics,Nykaa Party Edit Clutch,749,4.1,,https://www.nykaa.com/nykaa-party-edit-clutch/p/248367
257862,L'Oreal Paris,L'Oreal Paris Infallible Gel Crayon Eyeliner,429,4.1,,https://www.nykaa.com/l-oreal-paris-infallible-gel-crayon-eyeliner/p/257862
262993,Olay,Olay Total Effects Day Cream For Sensitive Skin - Niacinamide,764,4.1,,https://www.nykaa.com/olay-total-effects-7-in-one-touch-of-foundation-bb-creme-spf-15-50gm-new/p/262993
266374,L'Oreal Paris,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,3.9,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374
277501,Nykaa Cosmetics,Nykaa All Thing Glam Makeup Bag - Golden Hour,225,3.8,,https://www.nykaa.com/nykaa-all-thing-glam-makeup-bag-golden-hour/p/277501
277502,Nykaa Cosmetics,Nykaa All Thing Glam Makeup Bag - Pristine White,225,3.8,,https://www.nykaa.com/nykaa-all-thing-glam-makeup-bag-pristine-white/p/277502
286417,Nykaa Cosmetics,Nykaa Metal Addict Makeup Bag - Blushing Gold,300,4.0,,https://www.nykaa.com/nykaa-metal-addict-makeup-bag-blushing-gold/p/286417
288288,Maybelline New York,Maybelline New York Color Sensational Matte Metallic Lipstick,475,4.0,,https://www.nykaa.com/maybelline-new-york-color-sensational-matte-metallic-lipstick/p/288288
301196,L'Oreal Paris,L'Oreal Paris Casting Creme Gloss Hair Color - 316 + Magic Retouch Instant Root Concealer - 2 Dark Brown,929,3.7,,https://www.nykaa.com/l-oreal-paris-casting-creme-gloss-hair-color-316-plum-magic-retouch-instant-root-concealer-2-dark-brown/p/301196
315082,Nykaa Cosmetics,Nykaa Bling It On! Mini Travel-Size Makeup Pouch - Blushing Gold,169,3.7,,https://www.nykaa.com/nykaa-bling-it-on-mini-travel-size-makeup-bag-blushing-gold/p/315082
315084,Nykaa Cosmetics,Nykaa Bling It On! Mini Travel-Size Makeup Pouch - Stormy Goddess,169,3.7,,https://www.nykaa.com/nykaa-bling-it-on-mini-travel-size-makeup-bag-stormy-goddess/p/315084
343888,Nykaa Cosmetics,Nykaa Mermaid Squad Pouch,450,4.0,,https://www.nykaa.com/nykaa-mermaid-squad-pouch/p/343888
347361,Nykaa Cosmetics,Nykaa SKINgenius BB Cream SPF30 - Soft Beige 02,297,3.5,,https://www.nykaa.com/nykaa-skingenius-bb-cream-spf30-soft-beige-02/p/347361
347365,Nykaa Cosmetics,Nykaa SKINgenius BB Cream SPF30,262,3.5,,https://www.nykaa.com/nykaa-skingenius-bb-cream-spf30/p/347365
353883,Maybelline New York,Maybelline New York Lasting Drama Light Eyeliner Pencil,325,4.1,,https://www.nykaa.com/maybelline-new-york-lasting-drama-light-eyeliner-pencil/p/353883
353931,L'Oreal Paris,L'Oreal Paris True Match BB Cream,670,4.1,,https://www.nykaa.com/l-oreal-paris-true-match-bb-creams/p/353931
361744,NYX Professional Makeup,NYX Professional Makeup Powder Puff Lippie Cream,488,3.9,BESTSELLER,https://www.nykaa.com/nyx-professional-makeup-powder-puff-lippie-cream/p/361744
374233,Nykaa Cosmetics,Nykaa So Matte! Mini Lipstick - 30 M Regal Ruby,159,4.0,,https://www.nykaa.com/nykaa-so-matte-mini-lipstick-30-m-regal-ruby/p/374233
374235,Nykaa Cosmetics,Nykaa So Matte! Mini Lipstick - 17 M Cranberry Sangria,159,4.0,,https://www.nykaa.com/nykaa-so-matte-mini-lipstick-17-m-cranberry-sangria/p/374235
374238,Nykaa Cosmetics,Nykaa So Matte! Mini Lipstick - 03 Devious Pink,159,4.0,,https://www.nykaa.com/nykaa-so-matte-mini-lipstick-03-devious-pink/p/374238
376841,Nykaa Cosmetics,Nykaa Wedding Jasmine Gift Box,250,3.8,,https://www.nykaa.com/nykaa-jasmine-gift-box/p/376841
376842,Nykaa Cosmetics,Nykaa Wedding Moringa Gift Box,250,3.7,,https://www.nykaa.com/nykaa-moringa-gift-box/p/376842
376843,Nykaa Cosmetics,Nykaa Wedding Lotus Gift Box,250,3.7,,https://www.nykaa.com/nykaa-lotus-gift-box/p/376843
394618,Nykaa Cosmetics,Nykaa Contour & Conquer - Contour and Highlight Duo - Sizzle Chisel 01,559,4.1,,https://www.nykaa.com/nykaa-contour-conquer-contour-and-highlight-duo-sizzle-chisel-01/p/394618
417929,Nykaa Cosmetics,Nykaa BlendPro Powder Stippling Makeup Brush,449,3.8,,https://www.nykaa.com/nykaa-skin-secrets-sheet-mask/p/417929
422905,Nykaa Cosmetics,Nykaa Serial Kisser Lip Balm - Raspberry,112,4.0,,https://www.nykaa.com/nykaa-serial-kisser-lip-balm-raspberry/p/422905
422906,Nykaa Cosmetics,Nykaa Serial Kisser Lip Balm - Pomegranate,112,4.0,,https://www.nykaa.com/nykaa-serial-kisser-lip-balm-pomegranate/p/422906
422909,Nykaa Cosmetics,Nykaa Serial Kisser Lip Balm - Pinacolada,127,4.0,,https://www.nykaa.com/nykaa-serial-kisser-lip-balm-pinacolada/p/422909
422911,Nykaa Cosmetics,Nykaa Serial Kisser Lip Balm - Grape,119,4.0,,https://www.nykaa.com/nykaa-serial-kisser-lip-balm-grape/p/422911
435111,L'Oreal Paris,L'Oreal Paris Flash Cat Eye Eyeliner - Black,799,4.1,,https://www.nykaa.com/l-oreal-paris-flash-cat-eye-eyeliner-black/p/435111
435129,Maybelline New York,Maybelline New York Shine Compulsion Lipstick,550,3.6,,https://www.nykaa.com/maybelline-new-york-shine-compulsion-lipstick/p/435129
437390,Nykaa Cosmetics,Nykaa BlendPro Highlighting Fan Makeup Brush,319,3.9,,https://www.nykaa.com/nykaa-blendpro-highlighting-fan-makeup-brush/p/437390
448344,Nykaa Cosmetics,Nykaa Oh My Brow! Eyebrow Mascara - Sirius Brown,449,4.1,,https://www.nykaa.com/nykaa-oh-my-brow-eyebrow-mascara-sirius-brown/p/448344
452442,Herbal Essences,Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants,390,4.2,BESTSELLER,https://www.nykaa.com/herbal-essences-coconut-milk-shampoo-for-hydration-softness-no-parabens-no-colourants-400ml/p/452442
452443,Herbal Essences,"Herbal Essences Cocoa Butter Shampoo For Hair Strengthening - No Parabens, No Colourants",390,4.3,,https://www.nykaa.com/herbal-essences-cocoa-butter-shampoo-for-hair-strengthening-no-parabens-no-colourants-400ml/p/452443
452448,Herbal Essences,Herbal Essences Bio:Renew Hydrate Coconut Milk Conditioner,423,4.4,,https://www.nykaa.com/herbal-essences-bio-renew-hydrate-coconut-milk-conditioner-400ml/p/452448
452449,Herbal Essences,Herbal Essences Bio:Renew Strength Whipped Cocoa Butter Conditioner,423,4.4,,https://www.nykaa.com/herbal-essences-bio-renew-strength-whipped-cocoa-butter-conditioner-400ml/p/452449
452475,Maybelline New York,Maybelline New York Color Sensational Satin Lipstick,499,3.5,,https://www.nykaa.com/maybelline-new-york-color-sensational-satin-lipstick/p/452475
